Player Name      Team         Goals  Assists  Penalties
Nick_D'Agostino  Cornell          3        3          0
Greg_Miller      Cornell          2        3          0
Cole_Bardreau    Cornell          1        4          0
John_Esposito    Cornell          2        3          0
Joakim_Ryan      Cornell          2        2          0
Dustin_Mowrey    Cornell          0        4          0
Joe_Zarbo        Clarkson         2        2          0
Pat_Megannety    Clarkson         1        3          0
Jarrett_Burton   Clarkson         1        3          0
Erik_Axell       Cornell          1        3          0
Nick_Bailen      Rensselaer       0        3          0
Jacob_Laliberte  Rensselaer       3        0          0
Matt_Neal        Rensselaer       1        2          0
John_McCarron    Cornell          0        3          0
Ryan_Haggerty    Rensselaer       1        2          0
Guy_Leboeuf      Rensselaer       2        0          0
Mark_McGowan     Rensselaer       0        2          0
Chris_Bradley    Rensselaer       1        1          0
Joel_Lowry       Cornell          0        2          0
Brian_Ferlin     Cornell          2        0          0
T.J._Moor        Clarkson         0        2          0
Simon_Bessette   Clarkson         1        1          0
Allan_McPherson  Clarkson         2        0          0
Ben_Sexton       Clarkson         1        1          0
Andrew_Himelson  Clarkson         1        1          0
Paul_Geiger      Clarkson         0        2          0
James_Howden     Clarkson         0        2          0
Alex_Boak        Clarkson         1        1          0
Will_Frederick   Clarkson         2        0          0
Bo_Dolan         Rensselaer       0        2          0
Mike_Zalewski    Rensselaer       1        1          0
Luke_Curadi      Rensselaer       0        1          0
Curtis_Leonard   Rensselaer       0        1          0
Mark_Miller      Rensselaer       0        1          0
Johnny_Rogic     Rensselaer       0        1          0
Vince_Mihalek    Cornell          0        1          0
Andy_Iles        Cornell          0        1          0
Travis_Fulton    Rensselaer       0        1          0
Milos_Bubela     Rensselaer       1        0          0
Brock_Higgs      Rensselaer       1        0          0
