character-name          jab    forward-tilt    up-tilt    down-tilt    forward-smash    up-smash    down-smash            
banjo&kazooie           4      7               11         12           19               9           13                    
bayonetta               9      12              9          7            17               18          20                    
bowser                  7      10              11         10           22               16          17                    
bowser-jr.              4      7               7          4            18               7           15                    
byleth                  4      8               9          13           23               13          19                    
captain-falcon          3      7               14         11           19               22          19                    
charizard               4      12              9          9            22               6           14                    
chrom                   5      8               6          7            13               12          6                     
cloud                   4      9               6          7            19               12          8                     
corrin                  5      8               7          5            12               13          13                    
daisy                   2      7               9          8            15               14          6                     
dark-pit                4      10              6          6            10               6           5                     
dark-samus              3      8               15         6            10               11          9                     
diddy-kong              3      10              6          4            12               5           9                     
donkey-kong             5      7               5          6            22               14          11                    
dr.mario                2      5               5          5            15               9           5                     
duck-hunt               4      8               7          6            17               12          12                    
falco                   2      6               5          10           17               7           8                     
fox                     2      6               3          7            13               8           6                     
ganondorf               7      10              60         10           29               20          15                    
greninja                3      10              9          5            13               12          11                    
hero                    6      9               8          6            17               13          9                     
ice-climbers            4      9               8          8            11               12          9                     
ike                     4      12              11         7            31               25          13                    
incineroar              5      12              6          9            16               13          18                    
inkling                 3      8               7          5            16               9           11                    
isabelle                3      8               6          9            14               11          8                     
ivysaur                 7      10              7          4            15               26          13                    
jigglypuff              5      7               9          10           16               16          14                    
joker                   4      8               8          8            16               10          12                    
ken                     7      10              7          6            13               9           5                     
king-dedede             10     12              7          6            40               17          12                    
king-k.-rool            4      12              5          13           19               6           22                    
kirby                   2      5               4          4            13               12          10                    
link                    8      15              8          10           17               10          12                    
little-mac              1      4               4          3            14               10          10                    
lucario                 7      12              6          9            19               15          19                    
lucas                   2      7               4          3            14               28          20                    
lucina                  5      8               6          7            10               13          6                     
luigi                   2      5               5          5            12               9           6                     
mario                   2      5               5          5            15               9           5                     
marth                   5      8               6          7            10               13          6                     
mega-man                7      7               6          5            19               8           17                    
meta-knight             4      6               8          3            24               8           4                     
mewtwo                  5      10              8          6            19               9           21                    
mr.game&watch           4      8               10         6            17               21          12                    
ness                    3      7               5          3            21               10          12                    
olimar                  4      15              6          6            11               12          10                    
pac-man                 4      5               7          7            16               11          15                    
palutena                8      14              8          14           18               18          17                    
peach                   2      7               9          8            15               14          6                     
pichu                   2      5               7          7            16               9           8                     
pikachu                 2      6               7          7            15               10          8                     
piranha-plant           2      7               8          9            16               12          12                    
pit                     4      10              6          6            10               6           5                     
r.o.b.                  3      7               4          3            16               10          7                     
richter                 5      12              10         7            24               18          14                    
ridley                  4      10              8          9            18               12          24                    
robin                   4      9               6          7            16               12          16                    
rosalina                5      7               7          5            16               8           6                     
roy                     5      8               6          7            13               12          6                     
ryu                     7      16              7          6            15               9           5                     
samus                   3      8               15         6            10               11          9                     
sheik                   2      5               5          5            12               11          8                     
shulk                   5      12              11         10           14               18          18                    
simon                   5      12              10         7            24               18          14                    
snake                   3      4               6          6            41               11          8                     
sonic                   3      6               6          6            18               18          12                    
squirtle                2      5               5          8            20               19          18                    
terry                   3      8               7          6            18               10          8                     
toon-link               5      9               8          9            16               11          9                     
villager                3      8               7          9            25               12          9                     
wario                   8      12              8          5            18               11          8                     
wii-fit-trainer         4      6               5          9            16               14          18                    
wolf                    4      8               7          5            20               13          14                    
yoshi                   3      5               8          8            14               11          7                     
young-link              4      10              9          8            15               10          9                     
zelda                   4      12              7          5            16               9           5                     
zero-suit-samus         1      6               3          8            13               10          20                    
